 AC_NAME , CANDIDATE_NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , %_VOTES_POLLED , TOTAL_ELECTORS 
Boisar ,3 Janathe Santosh Shivram,MALE,34,ST,IND,Cup & Saucer,30932,20,30952,14.5415593933813,315434
Boisar ,4 Dinkar Dattatrey Wadhan,MALE,54,ST,MNS,Railway Engine,14769,11,14780,6.94379193054329,315434
Boisar ,5 NOTA,,,,NOTA,NOTA,4616,6,4622,2.17146186082348,315434
Boisar ,6 Prof. Rajesingh Manga Koli,MALE,50,ST,VBA,Gas Cylinder,2874,8,2882,1.35399244545506,315434
Boisar ,7 Rupesh Ramachandra Dhangada,MALE,36,ST,SanS,Auto- Rickshaw,1984,2,1986,0.933042677541202,315434
Boisar ,8 Sunil Dasharath Guhe,MALE,33,ST,BSP,Elephant,1855,2,1857,0.872437186401819,315434
Boisar ,9 Shyam Anant Gawari,MALE,36,ST,BTP,Bat,1118,1,1119,0.525717399883487,315434
,,,,,,,212717,135,212852,67.4790922982304,
Nalasopara,1 KSHITIJ HITENDRA THAKUR,MALE,36,GENERAL,BVA,Whistle,149807,61,149868,55.6985171145055,519160
Nalasopara,2 PRADEEP RAMESHWAR SHARMA,MALE,57,GENERAL,SHS,Bow and Arrow,106103,36,106139,39.4466124056937,519160
Nalasopara,3 PRAVIN PRAKASH GAIKWAD,MALE,38,GENERAL,VBA,Gas Cylinder,3480,7,3487,1.29594529304642,519160
Nalasopara,4 NOTA,,,,NOTA,NOTA,3219,2,3221,1.19708626008102,519160
Nalasopara,5 HITESH PRADIP RAUT,MALE,26,GENERAL,SanS,Auto- Rickshaw,1393,,1393,0.517709146318802,519160
Nalasopara,6 PARESH SUKUR GHATAL,MALE,35,ST,IND,Telephone,1082,,1082,0.402125840859256,519160
Nalasopara,7 SALMAN BALUCH,MALE,30,GENERAL,BSP,Elephant,1044,,1044,0.388003121864199,519160
Nalasopara,8 SUSHANT MADHUKAR PAWAR,MALE,32,SC,IND,Cup & Saucer,660,3,663,0.246404281413758,519160
Nalasopara,9 Dr. VIJAYA DATTARAM SAMEL,FEMALE,64,GENERAL,IND,Tractor Chalata Kissan,533,1,534,0.198461366930539,519160
Nalasopara,10 AMAR KISAN KAWLE,MALE,30,GENERAL,IND,Battery torch,407,,407,0.151261753447058,519160
Nalasopara,11 ARORA RAKESH VISHWANATH,MALE,59,GENERAL,HJP,Helicopter,375,,375,0.139368937451221,519160
Nalasopara,12 MOHSIN SHARIF SHAIKH,MALE,34,GENERAL,BAHUMP,Bat,282,,282,0.104805440963318,519160
Nalasopara,13 OMKAR SUDHAKAR SHETTY,MALE,26,GENERAL,IND,Football,259,,259,0.0962574794663099,519160
Nalasopara,14 SATISH SITARAM WAREKAR,MALE,32,GENERAL,IND,Batsman,171,,171,0.0635522354777567,519160
Nalasopara,15 MUZFFAR ZULKAR VOHRA,MALE,25,GENERAL,IND,Almirah,145,,145,0.0538893224811387,519160
,,,,,,,268960,110,269070,51.8279528469065,
Vasai,1 HITENDRA VISHNU THAKUR,MALE,57,GENERAL,BVA,Whistle,102749,201,102950,54.1827846635615,304697
Vasai,2 VIJAY GOVIND PATIL,MALE,71,GENERAL,SHS,Bow and Arrow,76797,158,76955,40.5015657482698,304697
Vasai,3 Prafulla Narayan Thakur,MALE,44,GENERAL,MNS,Railway Engine,3531,9,3540,1.86310886555617,304697
Vasai,4 NOTA,,,,NOTA,NOTA,3028,8,3036,1.59785268808716,304697
Vasai,5 Shahid Kamal Shaikh,MALE,32,GENERAL,VBA,Gas Cylinder,1568,2,1570,0.826294044893555,304697
Vasai,6 Anton Victar DicuNA,MALE,50,GENERAL,BSP,Elephant,1286,2,1288,0.677876897976369,304697
Vasai,7 SUNEEL MANI SINGH,MALE,40,GENERAL,IND,Helicopter,666,,666,0.350517091655483,304697
,,,,,,,189625,380,190005,62.3586710732301,
Bhiwandi Rural (S.T.),1 Shantaram Tukaram More,MALE,49,ST,SHS,Bow and Arrow,83367,200,83567,48.3566146261298,289361
Bhiwandi Rural (S.T.),2 Shubhangi Ramesh Govari,FEMALE,30,ST,MNS,Railway Engine,38994,64,39058,22.6011781452892,289361
Bhiwandi Rural (S.T.),3 Madhuri Shashikant Mhatre,FEMALE,47,ST,NCP,Clock,33489,82,33571,19.4260881641534,289361
Bhiwandi Rural (S.T.),4 Mhase Nitesh Jagan,MALE,25,ST,CPI,Ears of Corn And Sickle,4955,3,4958,2.86898052241138,289361
Bhiwandi Rural (S.T.),5 Swapnil Mahadeo Koli,MALE,49,ST,VBA,Gas Cylinder,4408,18,4426,2.56113509322161,289361
Bhiwandi Rural (S.T.),6 NOTA,,,,NOTA,NOTA,3330,10,3340,1.93271378476281,289361
Bhiwandi Rural (S.T.),7 Co. Laxaman Sukary Wadu,MALE,54,ST,RMPOI,Pot,2508,1,2509,1.45184996585925,289361
Bhiwandi Rural (S.T.),8 Sitaram Arjun Dive,MALE,42,ST,IND,Cup & Saucer,1384,1,1385,0.801439698172602,289361
,,,,,,,172435,379,172814,59.7226302093233,
shahapur,1 DAULAT BHIKA DARODA,MALE,51,ST,NCP,Clock,75804,249,76053,46.9593405575623,249313
shahapur,2 BARORA PANDURANG MAHADU,MALE,49,ST,SHS,Bow and Arrow,60788,161,60949,37.633293198728,249313
shahapur,3 Krushna Chintu Bhavar,MALE,39,ST,CPIM,"Hammer, Sickle and Star",10359,2,10361,6.39745608347998,249313
